user_id,symbol,type,time,qty,avg_cost,buy_pwr
1,TSLA,stock,2023-02-21 19:39:03,50,26.1,400
2,TSLA,stock,2023-02-21 19:39:03,88,51.8,400
1,BTC/USD,crypto,2023-02-21 19:39:03,100,4.2,400
2,BTC/USD,crypto,2023-02-21 19:39:03,81,56.2,400
1,DOGE/USD,crypto,2023-02-21 19:39:03,59,48,400
2,DOGE/USD,crypto,2023-02-21 19:39:03,16,31.5,400
1,AAPL,stock,2023-02-22 19:39:03,16,84.2,400
2,AAPL,stock,2023-02-22 19:39:03,86,24.4,400
1,GOOGL,stock,2023-02-22 19:39:03,42,0.6,400
2,GOOGL,stock,2023-02-22 19:39:03,44,50.7,400
1,TSLA,stock,2023-02-22 19:39:03,11,83.9,400
2,TSLA,stock,2023-02-22 19:39:03,37,2,400
1,BTC/USD,crypto,2023-02-22 19:39:03,61,5.5,400
2,BTC/USD,crypto,2023-02-22 19:39:03,11,58.9,400
1,DOGE/USD,crypto,2023-02-22 19:39:03,80,84.7,400
2,DOGE/USD,crypto,2023-02-22 19:39:03,16,76.7,400
1,AAPL,stock,2023-02-23 19:39:03,81,53.8,400
2,AAPL,stock,2023-02-23 19:39:03,40,52.6,400
1,GOOGL,stock,2023-02-23 19:39:03,74,78.2,400
2,GOOGL,stock,2023-02-23 19:39:03,67,2.5,400
1,TSLA,stock,2023-02-23 19:39:03,29,60.9,400
2,TSLA,stock,2023-02-23 19:39:03,39,94.5,400
1,BTC/USD,crypto,2023-02-23 19:39:03,15,61.8,400
2,BTC/USD,crypto,2023-02-23 19:39:03,90,11.6,400
1,DOGE/USD,crypto,2023-02-23 19:39:03,75,48.6,400
2,DOGE/USD,crypto,2023-02-23 19:39:03,49,68.8,400
1,AAPL,stock,2023-02-24 19:39:03,44,93.4,400
2,AAPL,stock,2023-02-24 19:39:03,40,19,400
1,GOOGL,stock,2023-02-24 19:39:03,7,86.8,400
2,GOOGL,stock,2023-02-24 19:39:03,25,60.7,400
1,TSLA,stock,2023-02-24 19:39:03,43,42,400
2,TSLA,stock,2023-02-24 19:39:03,38,35.6,400
1,BTC/USD,crypto,2023-02-24 19:39:03,87,15.9,400
2,BTC/USD,crypto,2023-02-24 19:39:03,58,69.4,400
1,DOGE/USD,crypto,2023-02-24 19:39:03,49,12.3,400
2,DOGE/USD,crypto,2023-02-24 19:39:03,96,72,400
1,AAPL,stock,2023-02-25 19:39:03,67,99.1,400
2,AAPL,stock,2023-02-25 19:39:03,43,83.8,400
1,GOOGL,stock,2023-02-25 19:39:03,61,80.3,400
2,GOOGL,stock,2023-02-25 19:39:03,5,73.7,400
1,TSLA,stock,2023-02-25 19:39:03,61,41.5,400
2,TSLA,stock,2023-02-25 19:39:03,54,90.8,400
1,BTC/USD,crypto,2023-02-25 19:39:03,31,12.1,400
2,BTC/USD,crypto,2023-02-25 19:39:03,72,42.2,400
1,DOGE/USD,crypto,2023-02-25 19:39:03,90,52.7,400
2,DOGE/USD,crypto,2023-02-25 19:39:03,58,52.2,400
1,AAPL,stock,2023-02-26 19:39:03,63,2.4,400
2,AAPL,stock,2023-02-26 19:39:03,72,93.1,400
1,GOOGL,stock,2023-02-26 19:39:03,15,26,400
