"user_id","friend_id","status_type"
1,14,"complete"
1,18,"complete"
1,2,"complete"
1,7,"complete"
1,9,"pending"
1,12,"complete"
1,1,"pending"
1,4,"pending"
1,5,"complete"
1,11,"pending"
2,17,"complete"
2,9,"pending"
2,5,"complete"
2,6,"complete"
2,3,"pending"
2,14,"pending"
2,11,"pending"
2,8,"pending"
2,4,"pending"
3,6,"pending"
3,5,"complete"
3,10,"pending"
3,19,"complete"
3,1,"complete"
3,2,"pending"
3,8,"pending"
4,6,"pending"
4,15,"complete"
4,16,"complete"
4,17,"complete"
4,1,"complete"
4,12,"complete"
4,18,"pending"
4,13,"complete"
4,4,"complete"
5,4,"complete"
5,12,"complete"
5,5,"complete"
5,15,"complete"
5,18,"pending"
5,19,"complete"
5,2,"complete"
5,10,"complete"
6,17,"pending"
6,13,"complete"
6,12,"complete"
6,15,"complete"
6,16,"complete"
6,5,"pending"
6,8,"pending"
7,16,"complete"
8,13,"complete"
8,11,"complete"
8,4,"complete"
9,2,"pending"
9,14,"complete"
9,5,"complete"
9,9,"pending"
9,6,"pending"
9,7,"pending"
9,12,"complete"
9,16,"complete"
10,13,"pending"
10,9,"complete"
10,2,"complete"
10,6,"complete"
10,3,"complete"
10,10,"pending"
10,19,"complete"
10,18,"complete"
10,4,"pending"
11,5,"pending"
11,4,"complete"
11,17,"pending"
11,10,"pending"
11,18,"pending"
12,16,"complete"
12,4,"complete"
12,3,"complete"
12,15,"complete"
12,1,"pending"
12,13,"pending"
12,8,"pending"
12,5,"complete"
12,10,"pending"
12,14,"pending"
13,9,"complete"
13,19,"pending"
13,8,"complete"
13,3,"pending"
13,4,"complete"
13,10,"complete"
13,15,"pending"
13,14,"complete"
13,2,"complete"
13,16,"complete"
14,6,"complete"
14,18,"complete"
14,5,"pending"
14,4,"complete"
14,16,"complete"
14,15,"pending"
14,14,"pending"
15,13,"complete"
15,15,"complete"
15,6,"complete"
15,7,"complete"
15,5,"complete"
15,14,"pending"
15,1,"pending"
15,16,"pending"
16,9,"complete"
16,12,"complete"
16,19,"complete"
16,18,"complete"
16,2,"complete"
17,4,"pending"
17,11,"complete"
17,9,"pending"
17,3,"pending"
17,13,"pending"
18,2,"pending"
18,19,"pending"
19,12,"complete"
19,1,"pending"
19,4,"complete"
19,18,"complete"
19,13,"complete"
19,3,"complete"
19,11,"pending"
19,15,"complete"
19,7,"complete"
20,11,"complete"
20,19,"complete"
20,13,"pending"
20,7,"complete"
20,17,"pending"
20,9,"complete"
20,4,"complete"
20,14,"complete"
20,3,"pending"
