"user_id","time","net"
1,"2022-04-01 06:28:03",2546
2,"2022-04-01 06:28:03",3852
1,"2022-04-01 06:38:03",3909
2,"2022-04-01 06:38:03",6096
1,"2022-04-01 06:48:03",4020
2,"2022-04-01 06:48:03",1804
1,"2022-04-01 06:58:03",8874
2,"2022-04-01 06:58:03",2044
1,"2022-04-01 07:08:03",1453
2,"2022-04-01 07:08:03",6626
1,"2022-04-01 07:18:03",6752
2,"2022-04-01 07:18:03",6858
1,"2022-04-01 07:28:03",4433
2,"2022-04-01 07:28:03",133
1,"2022-04-01 07:38:03",2584
2,"2022-04-01 07:38:03",194
1,"2022-04-01 07:48:03",3014
2,"2022-04-01 07:48:03",3719
1,"2022-04-01 07:58:03",7203
2,"2022-04-01 07:58:03",6987
1,"2022-04-01 08:08:03",2656
2,"2022-04-01 08:08:03",1459
1,"2022-04-01 08:18:03",4388
2,"2022-04-01 08:18:03",1779
1,"2022-04-01 08:28:03",2616
2,"2022-04-01 08:28:03",6148
1,"2022-04-01 08:38:03",6877
2,"2022-04-01 08:38:03",9291
1,"2022-04-01 08:48:03",9286
2,"2022-04-01 08:48:03",4795
1,"2022-04-01 08:58:03",6530
2,"2022-04-01 08:58:03",3425
1,"2022-04-01 09:08:03",7188
2,"2022-04-01 09:08:03",3426
1,"2022-04-01 09:18:03",931
2,"2022-04-01 09:18:03",5271
1,"2022-04-01 09:28:03",7706
2,"2022-04-01 09:28:03",719
1,"2022-04-01 09:38:03",4394
2,"2022-04-01 09:38:03",9116
1,"2022-04-01 09:48:03",7812
2,"2022-04-01 09:48:03",7826
1,"2022-04-01 09:58:03",8178
2,"2022-04-01 09:58:03",9470
1,"2022-04-01 10:08:03",462
2,"2022-04-01 10:08:03",3942
1,"2022-04-01 10:18:03",6051
2,"2022-04-01 10:18:03",5027
1,"2022-04-01 10:28:03",5396
2,"2022-04-01 10:28:03",9270
1,"2022-04-01 10:38:03",308
2,"2022-04-01 10:38:03",55
1,"2022-04-01 10:48:03",5925
2,"2022-04-01 10:48:03",7049
1,"2022-04-01 10:58:03",9090
2,"2022-04-01 10:58:03",3844
1,"2022-04-01 11:08:03",8170
2,"2022-04-01 11:08:03",7592
1,"2022-04-01 11:18:03",3783
2,"2022-04-01 11:18:03",1636
1,"2022-04-01 11:28:03",7993
2,"2022-04-01 11:28:03",6513
1,"2022-04-01 11:38:03",4841
2,"2022-04-01 11:38:03",1308
1,"2022-04-01 11:48:03",8843
2,"2022-04-01 11:48:03",1531
1,"2022-04-01 11:58:03",5793
2,"2022-04-01 11:58:03",3546
1,"2022-04-01 12:08:03",7961
2,"2022-04-01 12:08:03",328
1,"2022-04-01 12:18:03",6527
2,"2022-04-01 12:18:03",2711
1,"2022-04-01 12:28:03",8253
2,"2022-04-01 12:28:03",4832
1,"2022-04-01 12:38:03",8613
2,"2022-04-01 12:38:03",1866
1,"2022-04-01 12:48:03",4908
2,"2022-04-01 12:48:03",3234
1,"2022-04-01 12:58:03",3261
2,"2022-04-01 12:58:03",6429
1,"2022-04-02 06:08:03",704
2,"2022-04-02 06:08:03",2857
1,"2022-04-02 06:18:03",8422
2,"2022-04-02 06:18:03",984
1,"2022-04-02 06:28:03",4903
2,"2022-04-02 06:28:03",8595
1,"2022-04-02 06:38:03",487
2,"2022-04-02 06:38:03",5285
1,"2022-04-02 06:48:03",3381
2,"2022-04-02 06:48:03",4560
1,"2022-04-02 06:58:03",96
2,"2022-04-02 06:58:03",6910
1,"2022-04-02 07:08:03",2255
2,"2022-04-02 07:08:03",7418
1,"2022-04-02 07:18:03",6586
2,"2022-04-02 07:18:03",5575
1,"2022-04-02 07:28:03",6348
2,"2022-04-02 07:28:03",4923
1,"2022-04-02 07:38:03",8037
2,"2022-04-02 07:38:03",1128
1,"2022-04-02 07:48:03",4176
2,"2022-04-02 07:48:03",883
1,"2022-04-02 07:58:03",4979
2,"2022-04-02 07:58:03",5407
1,"2022-04-02 08:08:03",5504
2,"2022-04-02 08:08:03",8595
1,"2022-04-02 08:18:03",1716
2,"2022-04-02 08:18:03",3319
1,"2022-04-02 08:28:03",1639
2,"2022-04-02 08:28:03",9967
