"id","user_id","type","datetime","stock_ticker","quantity","price","status"
1,17,"sell","Sat, 01 Apr 2023 05:55:07 GMT","SHIB-USD",193,"354.50","complete"
2,6,"sell","Sat, 01 Apr 2023 05:55:07 GMT","PINS",397,"82.55","complete"
3,15,"buy","Sat, 01 Apr 2023 05:55:07 GMT","WISH",104,"306.13","complete"
4,0,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",397,"466.27","complete"
5,17,"sell","Sat, 01 Apr 2023 05:55:07 GMT","BTC-USD",155,"360.43","complete"
6,13,"buy","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",59,"50.51","complete"
7,18,"buy","Sat, 01 Apr 2023 05:55:07 GMT","META",212,"128.49","complete"
8,3,"buy","Sat, 01 Apr 2023 05:55:07 GMT","NVO",471,"12.22","complete"
9,11,"sell","Sat, 01 Apr 2023 05:55:07 GMT","WISH",34,"135.04","complete"
10,15,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AMZN",238,"470.04","complete"
11,8,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",0,"176.58","complete"
12,15,"sell","Sat, 01 Apr 2023 05:55:07 GMT","INTC",288,"108.39","complete"
13,7,"sell","Sat, 01 Apr 2023 05:55:07 GMT","ABT",68,"434.30","complete"
14,16,"buy","Sat, 01 Apr 2023 05:55:07 GMT","ABT",428,"473.85","complete"
15,16,"buy","Sat, 01 Apr 2023 05:55:07 GMT","MSFT",167,"309.90","complete"
16,3,"buy","Sat, 01 Apr 2023 05:55:07 GMT","ABT",135,"120.86","complete"
17,7,"buy","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",117,"343.47","complete"
18,11,"sell","Sat, 01 Apr 2023 05:55:07 GMT","AMD",104,"333.47","complete"
19,15,"buy","Sat, 01 Apr 2023 05:55:07 GMT","SQ",170,"469.79","complete"
20,16,"buy","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",374,"244.65","complete"
21,8,"sell","Sat, 01 Apr 2023 05:55:07 GMT","MSFT",371,"350.60","complete"
22,15,"buy","Sat, 01 Apr 2023 05:55:07 GMT","BTC-USD",227,"4.15","complete"
23,14,"buy","Sat, 01 Apr 2023 05:55:07 GMT","BTC-USD",309,"383.81","complete"
24,3,"sell","Sat, 01 Apr 2023 05:55:07 GMT","BAC",101,"78.45","complete"
25,18,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",379,"205.16","complete"
26,15,"sell","Sat, 01 Apr 2023 05:55:07 GMT","MSFT",497,"498.82","complete"
27,17,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",182,"261.00","complete"
28,17,"buy","Sat, 01 Apr 2023 05:55:07 GMT","PINS",123,"232.29","complete"
29,19,"sell","Sat, 01 Apr 2023 05:55:07 GMT","BAC",492,"177.04","complete"
30,18,"buy","Sat, 01 Apr 2023 05:55:07 GMT","PINS",482,"8.98","complete"
31,15,"buy","Sat, 01 Apr 2023 05:55:07 GMT","MSFT",362,"471.04","complete"
32,16,"sell","Sat, 01 Apr 2023 05:55:07 GMT","INTC",135,"271.52","complete"
33,17,"sell","Sat, 01 Apr 2023 05:55:07 GMT","ABT",377,"271.81","complete"
34,17,"buy","Sat, 01 Apr 2023 05:55:07 GMT","NVO",176,"371.33","complete"
35,2,"sell","Sat, 01 Apr 2023 05:55:07 GMT","SQ",292,"384.05","complete"
36,19,"sell","Sat, 01 Apr 2023 05:55:07 GMT","ABT",149,"44.52","complete"
37,8,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AAPL",332,"498.10","complete"
38,7,"sell","Sat, 01 Apr 2023 05:55:07 GMT","NVO",345,"130.11","complete"
39,6,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AMD",2,"475.85","complete"
40,12,"buy","Sat, 01 Apr 2023 05:55:07 GMT","WISH",273,"390.93","complete"
41,16,"sell","Sat, 01 Apr 2023 05:55:07 GMT","WISH",4,"65.67","complete"
42,5,"sell","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",163,"356.75","complete"
43,7,"buy","Sat, 01 Apr 2023 05:55:07 GMT","SQ",164,"458.79","complete"
44,11,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",424,"202.13","complete"
45,4,"buy","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",273,"465.94","complete"
46,9,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AMD",309,"130.34","complete"
47,5,"buy","Sat, 01 Apr 2023 05:55:07 GMT","SHIB-USD",57,"322.48","complete"
48,14,"buy","Sat, 01 Apr 2023 05:55:07 GMT","NVO",87,"268.71","complete"
49,12,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AAPL",341,"135.88","complete"
50,4,"buy","Sat, 01 Apr 2023 05:55:07 GMT","INTC",35,"213.35","complete"
51,4,"sell","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",357,"405.67","complete"
52,11,"buy","Sat, 01 Apr 2023 05:55:07 GMT","NVO",106,"349.54","complete"
53,19,"buy","Sat, 01 Apr 2023 05:55:07 GMT","AMZN",254,"371.47","complete"
54,19,"sell","Sat, 01 Apr 2023 05:55:07 GMT","NVDA",49,"122.50","complete"
55,14,"buy","Sat, 01 Apr 2023 05:55:07 GMT","BAC",141,"436.23","complete"
56,12,"sell","Sat, 01 Apr 2023 05:55:07 GMT","INTC",344,"117.94","complete"
57,4,"buy","Sat, 01 Apr 2023 05:55:07 GMT","SQ",38,"338.01","complete"
58,4,"buy","Sat, 01 Apr 2023 05:55:07 GMT","BAC",365,"12.05","complete"
59,12,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",178,"99.34","complete"
60,5,"sell","Sat, 01 Apr 2023 05:55:07 GMT","BAC",135,"80.58","complete"
61,7,"sell","Sat, 01 Apr 2023 05:55:07 GMT","AMZN",390,"142.05","complete"
62,16,"sell","Sat, 01 Apr 2023 05:55:07 GMT","META",388,"272.57","complete"
63,13,"buy","Sat, 01 Apr 2023 05:55:07 GMT","ETH-USD",34,"29.55","complete"
64,6,"sell","Sat, 01 Apr 2023 05:55:07 GMT","GOOG",109,"233.03","complete"
65,10,"sell","Sat, 01 Apr 2023 05:55:07 GMT","TSLA",54,"71.14","complete"
66,14,"sell","Sat, 01 Apr 2023 05:55:07 GMT","INTC",337,"330.15","complete"
